Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
2478,MA,NEWE,540.48
2479,MA,NEWE,540.48
2481,MA,NEWE,540.48
2482,MA,NEWE,540.48
2492,MA,NEWE,540.48
2493,MA,NEWE,540.48
2494,MA,NEWE,540.48
2495,MA,NEWE,540.48
2532,MA,NEWE,540.48
2534,MA,NEWE,540.48
2535,MA,NEWE,540.48
2536,MA,NEWE,540.48
2537,MA,NEWE,540.48
2538,MA,NEWE,540.48
2539,MA,NEWE,540.48
2540,MA,NEWE,540.48
2541,MA,NEWE,540.48
2542,MA,NEWE,540.48
2543,MA,NEWE,540.48
2552,MA,NEWE,540.48
2553,MA,NEWE,540.48
2554,MA,NEWE,540.48
2556,MA,NEWE,540.48
2557,MA,NEWE,540.48
2558,MA,NEWE,540.48
2559,MA,NEWE,540.48
2561,MA,NEWE,540.48
2562,MA,NEWE,540.48
2563,MA,NEWE,540.48
2564,MA,NEWE,540.48
2565,MA,NEWE,540.48
2568,MA,NEWE,540.48
2571,MA,NEWE,540.48
2573,MA,NEWE,540.48
2574,MA,NEWE,540.48
2575,MA,NEWE,540.48
2576,MA,NEWE,540.48
2584,MA,NEWE,540.48
2601,MA,NEWE,540.48
2630,MA,NEWE,540.48
2631,MA,NEWE,540.48
2632,MA,NEWE,540.48
2633,MA,NEWE,540.48
2634,MA,NEWE,540.48
2635,MA,NEWE,540.48
2637,MA,NEWE,540.48
2638,MA,NEWE,540.48
2639,MA,NEWE,540.48
2641,MA,NEWE,540.48
2642,MA,NEWE,540.48
2643,MA,NEWE,540.48
2644,MA,NEWE,540.48
2645,MA,NEWE,540.48
2646,MA,NEWE,540.48
2647,MA,NEWE,540.48
2648,MA,NEWE,540.48
2649,MA,NEWE,540.48
2650,MA,NEWE,540.48
2651,MA,NEWE,540.48
2652,MA,NEWE,540.48
